release_tag cost_usd cost_month cost_people
cassandra-2.1.9 10101089 33.118753 27.096310
cassandra-2.2.0 11137684 34.371313 28.788213
cassandra-2.2.1 11209675 34.455568 28.903441
cassandra-2.2.10 11860619 35.202609 29.932875
cassandra-2.2.11 11928807 35.279379 30.039453
cassandra-2.2.12 11960046 35.314458 30.088201
cassandra-2.2.13 11984577 35.341965 30.126449
cassandra-2.2.14 12065429 35.432379 30.252298
cassandra-2.2.15 12186641 35.567226 30.440372
cassandra-2.2.16 12222010 35.606416 30.495117
cassandra-2.2.17 12215824 35.599567 30.485546
cassandra-2.2.18 12230663 35.615994 30.508502
cassandra-2.2.19 12277920 35.668224 30.581533
cassandra-2.2.2 11285998 34.544528 29.025296
cassandra-2.2.3 11292539 34.552134 29.035725
cassandra-2.2.4 11389012 34.664007 29.189269
cassandra-2.2.5 11505806 34.798662 29.374497
cassandra-2.2.6 11647988 34.961447 29.599026
cassandra-2.2.7 11723314 35.047191 29.717557
cassandra-2.2.8 11802414 35.136863 29.841716
cassandra-2.2.9 11847089 35.187345 29.911701
cassandra-3.0.0 12466387 35.875296 30.871736
cassandra-3.0.1 12565479 35.983392 31.023649
cassandra-3.0.10 13303435 36.772259 32.141003
cassandra-3.0.11 13367880 36.839848 32.237447
cassandra-3.0.12 13404015 36.877658 32.291447
cassandra-3.0.13 13436266 36.911350 32.339597
cassandra-3.0.14 13468292 36.944758 32.387366
cassandra-3.0.15 13731270 37.217237 32.778004
cassandra-3.0.16 13832230 37.320985 32.927217
cassandra-3.0.17 13940710 37.431939 33.087085
cassandra-3.0.18 14078765 37.572370 33.289854
cassandra-3.0.19 14307800 37.803478 33.624594
cassandra-3.0.2 12566011 35.983971 31.024464
cassandra-3.0.20 14390789 37.886650 33.745380
cassandra-3.0.21 14477817 37.973553 33.871762
cassandra-3.0.22 14561618 38.056927 33.993183
cassandra-3.0.23 14624234 38.119031 34.083737
cassandra-3.0.24 14715196 38.208955 34.215022
cassandra-3.0.3 12727610 36.159121 31.271226
cassandra-3.0.4 12858945 36.300456 31.470901
cassandra-3.0.5 12984748 36.435003 31.661440
cassandra-3.0.6 13003970 36.455489 31.690491
cassandra-3.0.7 13047025 36.501308 31.755503
cassandra-3.0.8 13099872 36.557420 31.835190
cassandra-3.0.9 13259960 36.726547 32.075840
cassandra-3.1 12565517 35.983434 31.023708
cassandra-3.1.1 12565973 35.983930 31.024406
cassandra-3.10 16347260 39.767029 36.520587
cassandra-3.11.0 16517583 39.923971 36.756039
cassandra-3.11.1 16805918 40.187382 37.152536
cassandra-3.11.10 18035495 41.280289 38.815150
cassandra-3.11.2 16953798 40.321392 37.354885
cassandra-3.11.3 17073010 40.428897 37.517520
cassandra-3.11.4 17216332 40.557530 37.712477
cassandra-3.11.5 17467862 40.781685 38.053141
cassandra-3.11.6 17631770 40.926679 38.274130
cassandra-3.11.7 17731965 41.014901 38.408834
cassandra-3.11.8 17831762 41.102466 38.542715
cassandra-3.11.9 17926599 41.185398 38.669680
cassandra-3.2 12855216 36.296457 31.465243
cassandra-3.2.1 12855444 36.296702 31.465589
cassandra-3.3 12933065 36.379826 31.583247
cassandra-3.4 14432138 37.927981 33.805463
cassandra-3.5 14572563 38.067795 34.009023
cassandra-3.6 14941454 38.431147 34.540247
cassandra-3.7 14984871 38.473545 34.602440
cassandra-3.8 15528057 38.997662 35.374840
cassandra-3.9 15528057 38.997662 35.374840
